Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,18,182,20000,20000,1
T1,5000,14,140,50000,50000,1
T2,10000,6,68,100000,100000,1
T3,10000,1,11,100000,100000,1
T4,1000,20,207,10000,10000,1
T5,1000,28,284,10000,10000,1
T6,1000,30,300,10000,10000,1
T7,1000,11,112,10000,10000,1
T8,10000,4,49,100000,100000,1
T9,10000,4,45,100000,100000,1
T10,10000,9,93,100000,100000,1
T11,100,13,130,1000,1000,1
T12,1000,12,120,10000,10000,1
T13,1000,6,60,10000,10000,1
T14,1000,38,380,10000,10000,1
T15,1000,31,315,10000,10000,1
T16,100,8,85,1000,1000,1
T17,5000,3,35,50000,50000,1
T18,10000,18,181,100000,100000,1
T19,200,7,78,2000,2000,1
T20,10000,23,239,100000,100000,1
T21,10000,2,21,100000,100000,1
T22,5000,11,119,50000,50000,1
T23,10000,1,18,100000,100000,1
T24,100,2,27,1000,1000,1
T25,10000,8,83,100000,100000,1
T26,10000,25,256,100000,100000,1
T27,1000,14,140,10000,10000,1
T28,5000,3,39,50000,50000,1
T29,1000,24,246,10000,10000,1
T30,10000,7,77,100000,100000,1
T31,1000,11,115,10000,10000,1
T32,1000,16,161,10000,10000,1
T33,10000,3,39,100000,100000,1
T34,10000,2,29,100000,100000,1
T35,10000,2,28,100000,100000,1
T36,1000,1,15,10000,10000,1
T37,1000,29,297,10000,10000,1
T38,20000,17,174,200000,200000,1
