Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,1000,9,98,10000,10000,1
T1,10000,1,19,100000,100000,1
T2,10000,25,253,100000,100000,1
T3,10000,4,43,100000,100000,1
T4,10000,3,38,100000,100000,1
T5,10000,3,38,100000,100000,1
T6,5000,7,76,50000,50000,1
T7,500,3,38,5000,5000,1
T8,2000,17,172,20000,20000,1
T9,100000,0,0,1000000,1000000,1
T10,200,2,20,2000,2000,1
T11,2000,19,191,20000,20000,1
T12,10000,1,11,100000,100000,1
T13,2000,8,83,20000,20000,1
T14,2000,33,332,20000,20000,1
T15,2000,4,41,20000,20000,1
T16,500,46,466,5000,5000,1
T17,10000,1,15,100000,100000,1
T18,2000,2,20,20000,20000,1
T19,10000,2,29,100000,100000,1
T20,2000,7,78,20000,20000,1
T21,10000,3,39,100000,100000,1
T22,10000,4,42,100000,100000,1
T23,2000,10,105,20000,20000,1
T24,5000,4,44,50000,50000,1
T25,2000,58,580,20000,20000,1
T26,200,7,79,2000,2000,1
T27,2000,19,199,20000,20000,1
T28,2000,2,27,20000,20000,1
T29,2000,8,82,20000,20000,1
T30,2000,8,81,20000,20000,1
T31,200,2,22,2000,2000,1
T32,2000,10,109,20000,20000,1
T33,2000,10,102,20000,20000,1
T34,100,60,601,1000,1000,1
T35,200,6,65,2000,2000,1
T36,2000,9,97,20000,20000,1
T37,2000,6,67,20000,20000,1
T38,2000,7,72,20000,20000,1
T39,10000,7,76,100000,100000,1
T40,2000,22,223,20000,20000,1
T41,10000,33,338,100000,100000,1
T42,2000,13,130,20000,20000,1
T43,10000,34,343,100000,100000,1
T44,10000,4,42,100000,100000,1
T45,2000,8,80,20000,20000,1
T46,10000,26,260,100000,100000,1
T47,100000,0,1,1000000,1000000,1
T48,2000,3,37,20000,20000,1
T49,10000,8,84,100000,100000,1
T50,2000,22,224,20000,20000,1
