Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,4,47,20000,20000,1
T1,1000,16,167,10000,10000,1
T2,1000,38,385,10000,10000,1
T3,10000,7,79,100000,100000,1
T4,10000,7,74,100000,100000,1
T5,10000,7,75,100000,100000,1
T6,1000,29,293,10000,10000,1
T7,1000,36,365,10000,10000,1
T8,10000,14,148,100000,100000,1
T9,10000,3,39,100000,100000,1
T10,1000,27,273,10000,10000,1
T11,10000,2,25,100000,100000,1
T12,5000,31,315,50000,50000,1
T13,10000,1,12,100000,100000,1
T14,1000,17,179,10000,10000,1
T15,10000,7,74,100000,100000,1
T16,1000,26,260,10000,10000,1
T17,10000,6,66,100000,100000,1
T18,1000,11,119,10000,10000,1
T19,500,16,162,5000,5000,1
T20,100,0,6,1000,1000,1
T21,10000,6,61,100000,100000,1
T22,1000,19,195,10000,10000,1
T23,1000,27,272,10000,10000,1
T24,100000,0,1,1000000,1000000,1
T25,10000,8,85,100000,100000,1
T26,1000,20,202,10000,10000,1
T27,100000,5,57,1000000,1000000,1
T28,1000,14,144,10000,10000,1
T29,100,4,45,1000,1000,1
T30,1000,9,95,10000,10000,1
T31,1000,24,249,10000,10000,1
T32,1000,12,122,10000,10000,1
T33,10000,5,57,100000,100000,1
T34,1000,23,231,10000,10000,1
T35,100000,0,1,1000000,1000000,1
T36,1000,39,398,10000,10000,1
T37,10000,8,80,100000,100000,1
T38,10000,7,75,100000,100000,1
T39,1000,29,293,10000,10000,1
T40,1000,36,365,10000,10000,1
T41,10000,14,148,100000,100000,1
T42,10000,3,39,100000,100000,1
T43,1000,17,179,10000,10000,1
T44,10000,2,22,100000,100000,1
T45,1000,26,267,10000,10000,1
T46,1000,29,295,10000,10000,1
T47,10000,19,191,100000,100000,1
T48,10000,6,68,100000,100000,1
T49,5000,2,26,50000,50000,1
T50,5000,7,74,50000,50000,1
