Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,4,47,20000,20000,1
T1,1000,16,167,10000,10000,1
T2,1000,27,272,10000,10000,1
T3,10000,16,169,100000,100000,1
T4,10000,24,246,100000,100000,1
T5,1000,22,227,10000,10000,1
T6,1000,24,244,10000,10000,1
T7,10000,12,125,100000,100000,1
T8,10000,9,91,100000,100000,1
T9,10000,11,118,100000,100000,1
T10,1000,7,76,10000,10000,1
T11,1000,9,90,10000,10000,1
T12,1000,26,269,10000,10000,1
T13,200,4,48,2000,2000,1
T14,1000,3,36,10000,10000,1
T15,10000,10,107,100000,100000,1
T16,10000,3,39,100000,100000,1
T17,10000,13,133,100000,100000,1
T18,10000,6,60,100000,100000,1
T19,100000,0,1,1000000,1000000,1
T20,5000,3,31,50000,50000,1
T21,1000,28,286,10000,10000,1
T22,1000,6,66,10000,10000,1
T23,1000,14,148,10000,10000,1
T24,10000,8,89,100000,100000,1
T25,200,7,79,2000,2000,1
T26,1000,18,185,10000,10000,1
T27,5000,14,140,50000,50000,1
T28,100,13,133,1000,1000,1
T29,10000,2,22,100000,100000,1
T30,1000,15,158,10000,10000,1
T31,100000,0,1,1000000,1000000,1
T32,10000,5,58,100000,100000,1
T33,10000,8,84,100000,100000,1
T34,10000,3,38,100000,100000,1
T35,1000,11,119,10000,10000,1
T36,500,16,162,5000,5000,1
T37,100,0,6,1000,1000,1
T38,10000,6,61,100000,100000,1
T39,1000,19,195,10000,10000,1
T40,1000,27,272,10000,10000,1
T41,100000,0,1,1000000,1000000,1
T42,10000,8,85,100000,100000,1
T43,1000,20,202,10000,10000,1
T44,100000,5,57,1000000,1000000,1
T45,1000,1,16,10000,10000,1
T46,1000,9,95,10000,10000,1
T47,1000,24,249,10000,10000,1
T48,1000,12,122,10000,10000,1
T49,10000,5,57,100000,100000,1
T50,1000,23,231,10000,10000,1
T51,100000,0,1,1000000,1000000,1
T52,1000,22,222,10000,10000,1
T53,100000,0,1,1000000,1000000,1
T54,10000,9,98,100000,100000,1
T55,10000,7,72,100000,100000,1
T56,1000,6,62,10000,10000,1
