Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,18,182,20000,20000,1
T1,5000,11,119,50000,50000,1
T2,100,3,36,1000,1000,1
T3,5000,3,35,50000,50000,1
T4,10000,3,34,100000,100000,1
T5,100000,0,1,1000000,1000000,1
T6,1000,33,334,10000,10000,1
T7,10000,7,74,100000,100000,1
T8,10000,7,75,100000,100000,1
T9,1000,29,293,10000,10000,1
T10,1000,15,157,10000,10000,1
T11,1000,27,273,10000,10000,1
T12,10000,2,25,100000,100000,1
T13,5000,31,315,50000,50000,1
T14,10000,1,12,100000,100000,1
T15,10000,7,77,100000,100000,1
T16,200,8,82,2000,2000,1
T17,10000,8,81,100000,100000,1
T18,10000,5,53,100000,100000,1
T19,1000,28,283,10000,10000,1
T20,1000,26,267,10000,10000,1
T21,1000,11,119,10000,10000,1
T22,200,18,189,2000,2000,1
T23,10000,1,16,100000,100000,1
T24,10000,15,155,100000,100000,1
T25,10000,3,32,100000,100000,1
T26,5000,18,184,50000,50000,1
T27,100,12,127,1000,1000,1
T28,10000,7,78,100000,100000,1
T29,10000,5,50,100000,100000,1
T30,1000,1,15,10000,10000,1
T31,1000,37,377,10000,10000,1
T32,100000,5,53,1000000,1000000,1
T33,10000,9,90,100000,100000,1
T34,100000,0,1,1000000,1000000,1
T35,1000,3,33,10000,10000,1
T36,10000,7,73,100000,100000,1
T37,1000,24,244,10000,10000,1
T38,1000,11,117,10000,10000,1
T39,100,2,21,1000,1000,1
T40,10000,7,74,100000,100000,1
T41,100000,16,166,1000000,1000000,1
T42,10000,2,25,100000,100000,1
T43,10000,8,82,100000,100000,1
T44,1000,4,40,10000,10000,1
T45,10000,1,18,100000,100000,1
T46,1000,22,228,10000,10000,1
T47,1000,25,258,10000,10000,1
T48,500,3,34,5000,5000,1
T49,10000,2,27,100000,100000,1
T50,10000,11,110,100000,100000,1
T51,10000,8,81,100000,100000,1
T52,5000,14,145,50000,50000,1
T53,10000,5,53,100000,100000,1
T54,10000,4,40,100000,100000,1
T55,10000,5,54,100000,100000,1
T56,1000,3,38,10000,10000,1
T57,10000,8,81,100000,100000,1
T58,1000,21,214,10000,10000,1
T59,10000,3,38,100000,100000,1
T60,1000,5,54,10000,10000,1
