Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,20,208,20000,20000,1
T1,20000,0,6,200000,200000,1
T2,1000,14,144,10000,10000,1
T3,10000,4,46,100000,100000,1
T4,10000,6,66,100000,100000,1
T5,1000,11,119,10000,10000,1
T6,500,16,162,5000,5000,1
T7,1000,23,231,10000,10000,1
T8,100000,0,1,1000000,1000000,1
T9,1000,22,222,10000,10000,1
T10,100000,0,1,1000000,1000000,1
T11,10000,15,154,100000,100000,1
T12,1000,44,441,10000,10000,1
T13,500,10,103,5000,5000,1
T14,200,1,17,2000,2000,1
T15,1000,2,28,10000,10000,1
T16,1000,17,178,10000,10000,1
T17,10000,13,135,100000,100000,1
T18,1000,29,291,10000,10000,1
T19,100000,0,1,1000000,1000000,1
T20,1000,3,30,10000,10000,1
T21,1000,17,172,10000,10000,1
T22,10000,5,59,100000,100000,1
T23,10000,6,66,100000,100000,1
T24,10000,7,72,100000,100000,1
T25,1000,20,202,10000,10000,1
T26,100000,12,120,1000000,1000000,1
T27,1000,9,95,10000,10000,1
T28,1000,6,66,10000,10000,1
T29,1000,14,148,10000,10000,1
T30,10000,8,89,100000,100000,1
T31,200,7,79,2000,2000,1
T32,1000,18,185,10000,10000,1
T33,5000,4,41,50000,50000,1
T34,1000,14,148,10000,10000,1
T35,20000,0,5,200000,200000,1
T36,5000,7,77,50000,50000,1
T37,100,6,66,1000,1000,1
T38,10000,1,19,100000,100000,1
T39,10000,8,84,100000,100000,1
T40,10000,4,44,100000,100000,1
T41,1000,20,204,10000,10000,1
T42,10000,8,84,100000,100000,1
T43,1000,12,121,10000,10000,1
T44,1000,36,369,10000,10000,1
T45,500,4,46,5000,5000,1
T46,1000,25,259,10000,10000,1
T47,1000,13,138,10000,10000,1
T48,1000,28,282,10000,10000,1
T49,10000,11,117,100000,100000,1
